Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C53H90,16276480.63,0.000110111,0.110111485,0.151521729
C54H92,14235469.55,0.000153412,0.153412498,0.207112699
C55H94,12109526.11,4.60732E-05,-0.046073234,-0.061045533
C56H96,9932435.086,0.000446546,0.446546482,0.580872564
C57H98,12157645.11,0.000417708,0.417708483,0.533630776
C58H100,10524660,0.000213786,-0.213786367,-0.268312076
C59H102,9541772.273,0.000458305,0.458304763,0.565251365
C60H104,8509156.286,0.000282051,0.282051411,0.341957675
C61H106,7966435.763,0.000477952,0.47795197,0.569784439
C64H112,5195473.523,0.000213858,0.213857768,0.242778405
C69H122,3149116.911,0.000235073,-0.235072875,-0.247196724
C71H126,3115061.8,8.40818E-05,0.084081791,0.085886616
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H10,1872860.489,6.7167E-07,-0.00067167,-0.003771768
C16H14,3245957.3,1.65054E-05,-0.016505367,-0.080080556
C17H16,9262760.94,1.53968E-05,-0.015396757,-0.069945451
C18H18,11313435.77,1.17763E-05,-0.011776255,-0.050295603
C19H20,13568734.59,1.29072E-05,-0.012907239,-0.052012495
C20H22,20003529.59,6.2515E-06,-0.006251496,-0.023845002
C21H24,24513065.9,1.2005E-05,0.012005012,0.043466844
C22H26,31032038.7,1.21631E-05,0.012163057,0.041912172
C23H28,42414904.16,3.39275E-05,0.033927492,0.111523215
C24H30,47410009.32,3.24572E-05,0.032457241,0.101991506
C25H32,66950874.64,8.28754E-05,0.082875381,0.249436511
C26H34,81244416.94,7.82883E-05,0.078288266,0.226092814
C27H36,85251882.16,4.56944E-07,-0.000456944,-0.001268296
C28H38,119584745.6,0.000106428,0.106427523,0.284339503
C29H40,122946496,1.43517E-05,0.01435173,0.03695918
C30H42,105812039.4,9.40135E-05,0.094013521,0.233673442
C31H44,135840114.2,0.000138919,0.138918877,0.333663453
C32H46,93771323.51,6.63119E-05,-0.066311851,-0.154084624
C33H48,117140306.8,7.31845E-05,-0.073184529,-0.164690701
C34H50,100872237.8,0.000114429,-0.114429129,-0.249632009
C35H52,90467020.73,0.000223739,-0.22373859,-0.473614144
C36H54,90011655.48,8.97049E-05,-0.089704873,-0.184417586
C37H56,83452709.95,8.73953E-05,-0.087395328,-0.174637603
