Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C14H14,22175143.42,3.85769E-05,0.038576873,0.211833335
C15H16,4757836.685,5.37671E-06,0.005376707,0.027414666
C16H18,1859569.498,6.2646E-07,-0.00062646,-0.002981145
C17H20,3776844.178,6.64162E-06,-0.006641619,-0.029629386
C18H22,6046016.775,1.16151E-05,-0.01161511,-0.048767707
C19H24,7885187.596,3.3797E-05,-0.033797029,-0.134015319
C20H26,9030627.706,4.15851E-05,-0.041585128,-0.156215587
C21H28,17530829.05,1.13685E-05,0.011368489,0.04057
C22H30,18827490.31,2.34022E-05,-0.023402232,-0.079535922
C23H32,24483103.01,4.38398E-05,-0.043839805,-0.142221404
C24H34,31175911.99,6.05002E-05,-0.060500205,-0.187733721
C25H36,44475244.38,5.23401E-05,-0.052340146,-0.155643753
C26H38,60072879.95,7.56299E-05,-0.07562989,-0.215901974
C27H40,95075839.32,9.26955E-05,0.092695471,0.254439097
C28H42,87463558.81,7.80955E-05,-0.078095509,-0.206422401
C29H44,116575368.8,0.000141459,0.141459222,0.360548686
C30H46,132424612.2,0.000112558,0.112558455,0.276991999
C31H48,138231989.8,0.000126842,0.12684199,0.3017349
C32H50,129036475.6,7.14468E-05,-0.071446819,-0.164475732
C33H52,148736938.8,0.000196514,0.196513507,0.438248176
C34H54,121058436.8,7.93698E-05,0.07936981,0.171639143
C35H56,102043457.6,0.000162898,-0.162898483,-0.341908944
C36H58,124757639.5,3.35316E-05,0.033531588,0.068368488
C37H60,113340616.4,2.56892E-05,-0.025689222,-0.050923242
C38H62,92431257.78,0.000143709,0.143709217,0.277171326
C39H64,99285250.39,0.000129028,0.129028159,0.242306036
C40H66,117411363.8,7.75082E-05,-0.077508185,-0.141822236
C41H68,73672881.13,4.48283E-05,0.044828283,0.079974515
C42H70,67201805.35,2.64443E-05,0.026444267,0.04602623
C43H72,56885855.02,9.80615E-05,-0.098061459,-0.166611547
C44H74,47096300.16,0.000143053,-0.143052888,-0.237401031
C45H76,41190762.5,0.000164764,-0.164763745,-0.267215634
C46H78,39988528.53,2.38436E-05,-0.023843572,-0.037810308
C47H80,37672430.11,6.87088E-05,0.068708842,0.106587139
C48H82,31117102.91,0.000241201,0.241201383,0.366210339
C49H84,28377645.71,0.000102388,0.102388319,0.152214684
C50H86,23410967.89,0.000119659,0.119658968,0.174259038
C51H88,21925156.59,0.000221374,0.221373917,0.31593766
C52H90,19376165.03,0.000137517,-0.137516956,-0.192410994
C53H92,16964838.15,0.000288904,0.288904465,0.396454748
C54H94,15094840.23,0.000196178,0.196177511,0.264128343
C55H96,12723591.76,0.000167232,-0.16723217,-0.22098699
C56H98,11974265.59,0.000252929,-0.252929071,-0.328152502
C57H100,9638029.002,0.000323153,-0.32315305,-0.411774025
C58H102,10018699.39,0.000379011,0.379010647,0.474476118
C59H104,9346911.874,0.000317459,-0.317459334,-0.390568336
C60H106,8606808.245,0.000269625,-0.26962453,-0.326094491
C61H108,7117325.743,0.000298583,-0.298582755,-0.355098404
C62H110,4777237.704,0.000211527,0.211527105,0.247440422
C63H112,5008293.066,0.000333251,-0.33325088,-0.38354233
C64H114,3966181.586,0.000108852,0.108852166,0.123290459
C65H116,4881550.629,0.000363289,-0.363288543,-0.405045627
C66H118,5705171.051,0.000432554,-0.432553549,-0.47485175
C67H120,3519137.302,0.000437517,-0.437517178,-0.473022735
C68H122,4556284.91,0.000463086,0.463085799,0.493192932
C69H124,2843987.481,0.000473724,0.473724145,0.497102735
,,,,
Formula,Mono Inty,Abs Error,mDa Error,ppm Error
C13H10,1921207.613,5.70799E-05,0.057079908,0.343692854
C14H12,2574113.105,4.77423E-05,0.047742262,0.265096499
C16H16,1953450.781,3.24557E-06,-0.00324557,-0.015594314
C17H18,3658534.889,1.41442E-05,-0.014144246,-0.063672423
C18H20,6070669.91,6.58757E-06,-0.006587568,-0.027894925
C19H22,8268103.848,2.53989E-05,-0.025398907,-0.101525716
C20H24,16745182.25,7.92611E-06,-0.007926109,-0.030001797
C21H26,18183432.29,2.96371E-05,-0.029637142,-0.10653046
C22H28,33433218.34,7.59839E-07,-0.000759839,-0.002600238
C23H30,34403972.39,1.32343E-05,-0.013234349,-0.043216353
C24H32,34359827.44,6.26697E-05,-0.062669741,-0.195689813
C25H34,58995423.14,5.08622E-05,0.050862239,0.152160949
C26H36,77449643.86,3.3208E-05,0.033208043,0.095348228
C27H38,110903038.8,0.000100867,-0.100866511,-0.278408083
C28H40,147081410.7,5.70177E-05,0.05701766,0.151516584
C29H42,197443099.8,0.000138173,0.138172675,0.353990604
C30H44,165694654.1,0.000102151,-0.102151293,-0.252634433
C31H46,131745464.8,8.91129E-05,0.089112938,0.213005422
C32H48,151403491.3,0.000170675,0.17067453,0.394736727
